Short Description|Long Description|X|Y

The main hull|You're in the hull of a ship. The boards creak.|0|0
A long hallway|It's a long hallway, filled with doors to the crew's sleeping quarters. The doors are all locked|1|0
A mess hall.|The tables in this mess hall are still filthy.|1|-1
A dim storage room|You're in a storage room. There are sacks of food and crates of goods scattered across the floor|1|-2
A staircase leading up.|You're at the base of a staircase up to the deck|0|-2
The deck|The deck is covered in frigid, salty seawater as it tilts to and fro at the mercy of the waves.|-1|-2
A staircase leading down|The staircase back into the hull is rickety, you feel as though it could collapse at any moment.|-1|-1
The door to your quarters|Your quarters. They feel rather homely after the week you spent at sea.|-1|0
The nose of the ship|You stand on the nose of the ship, you can feel the frigid sea spray kick up and splash onto you.|-2|-2
Your bed|You sling the blankets over you and lay down, it honestly doesn't feel much warmer than the incredibly thick cloak you're wearing.|-2|0
